OID_,Value,EuropeCoun,EUcropPlus,HydroSoils,SlopeClass,CountryName,LandUse,SlopeClass,Manure added,Synthetic N applied,Sythetic P Applied,N Manure added,P Manure calculated,NUE,PUE,lucode,load_n,eff_n,crit_len_n,proportion_subsurface_n,load_p,eff_p,crit_len_p
3915,3916,23,90,3,3,Isle of Man,Herbaceous Wetland (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.65,1.03,3916,0,0.4,200,0.9909,0,0.4,200
3916,3917,23,90,3,4,Isle of Man,Herbaceous Wetland (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.65,1.03,3917,0,0.4,200,0.9935,0,0.4,200
3917,3918,23,90,3,2,Isle of Man,Herbaceous Wetland (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.65,1.03,3918,0,0.4,200,0.9905,0,0.4,200
3918,3919,23,90,3,5,Isle of Man,Herbaceous Wetland (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.65,1.03,3919,0,0.4,200,0.9966,0,0.4,200
3919,3920,23,40,2,5,Isle of Man,Cropland (ESA),> mean + 3STD = 26.558-89.281 degrees,Applied and excreted Cropland,79.57,26.3,43.65,8.24,0.54,0.82,3920,56.67933474,0.27,200,0.9973,6.216807871,0.27,200
3920,3921,23,35,3,2,Isle of Man,NonImproved grassland 1000 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,1491.66,281.45,0.69,0.81,3921,462.4153252,0.9,200,0.9915,53.47468764,0.9,200
3921,3922,23,35,3,1,Isle of Man,NonImproved grassland 1000 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,1491.66,281.45,0.69,0.81,3922,462.4153252,0.9,200,0.9916,53.47468764,0.9,200
3922,3923,23,35,3,3,Isle of Man,NonImproved grassland 1000 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,1491.66,281.45,0.69,0.81,3923,462.4153252,0.9,200,0.9911,53.47468764,0.9,200
3923,3924,23,35,3,4,Isle of Man,NonImproved grassland 1000 LSU,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,Excreted permanent grass -divided on LSU,0,0,1491.66,281.45,0.69,0.81,3924,462.4153252,0.9,200,0.9909,53.47468764,0.9,200
3924,3925,23,90,2,4,Isle of Man,Herbaceous Wetland (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.61,0.92,3925,0,0.4,200,1,0,0.4,200
3925,3926,15,60,2,1,Germany,Bare/sparse vegetation (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.57,0.83,3926,0,0.05,200,0.6273,0,0.05,200
3926,3927,15,600,2,1,Germany,Bare land,<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.6,0.93,3927,0,0.05,200,0.9506,0,0.05,200
3927,3928,15,60,3,1,Germany,Bare/sparse vegetation (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.6,0.71,3928,0,0.05,200,0.5661,0,0.05,200
3928,3929,15,211,3,1,Germany,Common wheat,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,150,12,80.95,15.27,0.66,1.1,3929,78.52220537,0.4,200,0.0558,0,0.4,200
3929,3930,15,31,2,1,Germany,Non improved grassland 0 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.6,0.82,3930,0,0.09,200,0.9999,0,0.09,200
3930,3931,15,211,3,2,Germany,Common wheat,<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,150,12,80.95,15.27,0.66,1.1,3931,78.52220537,0.4,200,0,0,0.4,200
3931,3932,15,600,3,1,Germany,Bare land,<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.64,0.98,3932,0,0.05,200,0.8646,0,0.05,200
3932,3933,15,60,2,2,Germany,Bare/sparse vegetation (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.57,0.83,3933,0,0.05,200,0.5586,0,0.05,200
3933,3934,15,600,3,2,Germany,Bare land,<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.64,0.98,3934,0,0.05,200,0.6395,0,0.05,200
3934,3935,15,31,2,2,Germany,Non improved grassland 0 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.6,0.82,3935,0,0.09,200,0.9993,0,0.09,200
3935,3936,15,600,2,2,Germany,Bare land,<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.6,0.93,3936,0,0.05,200,0.7637,0,0.05,200
3936,3937,15,211,2,1,Germany,Common wheat,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,150,12,80.95,15.27,0.49,0.7,3937,117.7833081,0.4,200,0.5217,8.181943181,0.4,200
3937,3938,15,211,2,2,Germany,Common wheat,<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,150,12,80.95,15.27,0.49,0.7,3938,117.7833081,0.4,200,0.4119,8.181943181,0.4,200
3938,3939,15,90,2,1,Germany,Herbaceous Wetland (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.61,0.92,3939,0,0.4,200,0.9602,0,0.4,200
3939,3940,15,80,2,1,Germany,Permanent water (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.56,0.81,3940,0,0,200,0,0,0,200
3940,3941,15,31,3,1,Germany,Non improved grassland 0 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.59,0.73,3941,0,0.09,200,0.9942,0,0.09,200
3941,3942,15,80,3,1,Germany,Permanent water (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.64,0.95,3942,0,0,200,0,0,0,200
3942,3943,15,90,3,1,Germany,Herbaceous Wetland (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.65,1.03,3943,0,0.4,200,0.905,0,0.4,200
3943,3944,15,50,3,1,Germany,Built-up (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.64,0.92,3944,0,0.13,200,0.9672,0,0.13,200
3944,3945,15,60,3,2,Germany,Bare/sparse vegetation (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.6,0.71,3945,0,0.05,200,0.2155,0,0.05,200
3945,3946,15,80,3,2,Germany,Permanent water (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.64,0.95,3946,0,0,200,0,0,0,200
3946,3947,15,31,3,2,Germany,Non improved grassland 0 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.59,0.73,3947,0,0.09,200,0.99,0,0.09,200
3947,3948,15,50,2,1,Germany,Built-up (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.54,0.81,3948,0,0.13,200,0.9962,0,0.13,200
3948,3949,15,40,3,1,Germany,Cropland (ESA),<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,102.3,24.62,80.95,15.27,0.63,0.87,3949,67.80081814,0.27,200,0.3023,5.186433487,0.27,200
3949,3950,15,40,3,2,Germany,Cropland (ESA),<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,102.3,24.62,80.95,15.27,0.63,0.87,3950,67.80081814,0.27,200,0.0585,5.186433487,0.27,200
3950,3951,15,90,2,2,Germany,Herbaceous Wetland (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.61,0.92,3951,0,0.4,200,0.9541,0,0.4,200
3951,3952,15,32,2,2,Germany,Non improved grassland 25 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,27,5.1,0.69,0.75,3952,8.37122589,0.19,200,0.9979,1.273771438,0.19,200
3952,3953,15,32,2,1,Germany,Non improved grassland 25 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,27,5.1,0.69,0.75,3953,8.37122589,0.19,200,0.9981,1.273771438,0.19,200
3953,3954,15,32,3,2,Germany,Non improved grassland 25 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,27,5.1,0.62,0.68,3954,10.2615027,0.19,200,0.938,1.630427441,0.19,200
3954,3955,15,32,3,1,Germany,Non improved grassland 25 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,27,5.1,0.62,0.68,3955,10.2615027,0.19,200,0.9675,1.630427441,0.19,200
3955,3956,15,90,3,2,Germany,Herbaceous Wetland (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.65,1.03,3956,0,0.4,200,0.8516,0,0.4,200
3956,3957,15,32,3,3,Germany,Non improved grassland 25 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,27,5.1,0.62,0.68,3957,10.2615027,0.19,200,0.9307,1.630427441,0.19,200
3957,3958,15,60,3,3,Germany,Bare/sparse vegetation (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.6,0.71,3958,0,0.05,200,0.226,0,0.05,200
3958,3959,15,50,3,2,Germany,Built-up (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.64,0.92,3959,0,0.13,200,0.9279,0,0.13,200
3959,3960,15,50,2,2,Germany,Built-up (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.54,0.81,3960,0,0.13,200,0.994,0,0.13,200
3960,3961,15,10,2,2,Germany,Tree Cover (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.58,0.84,3961,0,0.79,200,0.9975,0,0.79,200
3961,3962,15,80,2,2,Germany,Permanent water (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.56,0.81,3962,0,0,200,0,0,0,200
3962,3963,15,32,2,3,Germany,Non improved grassland 25 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,27,5.1,0.69,0.75,3963,8.37122589,0.19,200,0.9979,1.273771438,0.19,200
3963,3964,15,10,2,1,Germany,Tree Cover (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.58,0.84,3964,0,0.79,200,0.9993,0,0.79,200
3964,3965,15,10,2,3,Germany,Tree Cover (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.58,0.84,3965,0,0.79,200,0.9959,0,0.79,200
3965,3966,15,213,3,1,Germany,Barley,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,125,13,80.95,15.27,0.65,0.8,3966,72.081682,0.23,200,0.089,5.654628787,0.23,200
3966,3967,15,50,2,3,Germany,Built-up (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.54,0.81,3967,0,0.13,200,0.995,0,0.13,200
3967,3968,15,90,2,3,Germany,Herbaceous Wetland (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.61,0.92,3968,0,0.4,200,0.9571,0,0.4,200
3968,3969,15,60,2,3,Germany,Bare/sparse vegetation (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.57,0.83,3969,0,0.05,200,0.5656,0,0.05,200
3969,3970,15,213,2,1,Germany,Barley,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,125,13,80.95,15.27,0.64,1.07,3970,74.14115863,0.23,200,0.5686,0,0.23,200
3970,3971,15,33,2,1,Germany,Non Improved grassland 100 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,184.4,34.79,0.65,0.84,3971,64.53852484,0.82,200,0.9983,5.566665215,0.82,200
3971,3972,15,33,2,2,Germany,Non Improved grassland 100 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,184.4,34.79,0.65,0.84,3972,64.53852484,0.82,200,0.998,5.566665215,0.82,200
3972,3973,15,33,3,1,Germany,Non Improved grassland 100 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,184.4,34.79,0.65,0.79,3973,64.53852484,0.82,200,0.9338,7.306248095,0.82,200
3973,3974,15,216,2,3,Germany,Maize,<= mean + 1 STD = 5.061-12.225 degrees,Applied and excreted Cropland,62.84,14.2,80.95,15.27,0.51,0.78,3974,70.45522437,0.41,200,0.6186,6.485184833,0.41,200
3974,3975,15,216,2,1,Germany,Maize,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,62.84,14.2,80.95,15.27,0.51,0.78,3975,70.45522437,0.41,200,0.6657,6.485184833,0.41,200
3975,3976,15,216,2,2,Germany,Maize,<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,62.84,14.2,80.95,15.27,0.51,0.78,3976,70.45522437,0.41,200,0.5687,6.485184833,0.41,200
3976,3977,15,300,2,2,Germany,Woodland and Shrubland (incl. permanent crops,<= mean = 2.531- 5.06 degrees,No,0.51,0.08,0,0,0.55,0.82,3977,0.227488988,0.9,200,0.9679,0.014520064,0.9,200
3977,3978,15,700,2,1,Germany,Artificial,<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.51,0.71,3978,0,0.05,200,0.9965,0,0.05,200
3978,3979,15,700,2,3,Germany,Artificial,<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.51,0.71,3979,0,0.05,200,0.9965,0,0.05,200
3979,3980,15,300,2,1,Germany,Woodland and Shrubland (incl. permanent crops,<= 1/2 STD = < 2.53 degrees,No,0.51,0.08,0,0,0.55,0.82,3980,0.227488988,0.9,200,0.9856,0.014520064,0.9,200
3980,3981,15,300,2,3,Germany,Woodland and Shrubland (incl. permanent crops,<= mean + 1 STD = 5.061-12.225 degrees,No,0.51,0.08,0,0,0.55,0.82,3981,0.227488988,0.9,200,0.9646,0.014520064,0.9,200
3981,3982,15,10,3,1,Germany,Tree Cover (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.59,0.69,3982,0,0.79,200,0.9848,0,0.79,200
3982,3983,15,33,3,2,Germany,Non Improved grassland 100 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,184.4,34.79,0.65,0.79,3983,64.53852484,0.82,200,0.9217,7.306248095,0.82,200
3983,3984,15,300,3,1,Germany,Woodland and Shrubland (incl. permanent crops,<= 1/2 STD = < 2.53 degrees,No,0.51,0.08,0,0,0.63,0.76,3984,0.187046501,0.9,200,0.8624,0.019360085,0.9,200
3984,3985,15,216,3,1,Germany,Maize,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,62.84,14.2,80.95,15.27,0.64,1.04,3985,51.76302198,0.41,200,0.1134,0,0.41,200
3985,3986,15,50,3,3,Germany,Built-up (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.64,0.92,3986,0,0.13,200,0.9124,0,0.13,200
3986,3987,15,40,2,1,Germany,Cropland (ESA),<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,102.3,24.62,80.95,15.27,0.54,0.82,3987,84.29290904,0.27,200,0.721,7.181215598,0.27,200
3987,3988,15,33,2,3,Germany,Non Improved grassland 100 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,184.4,34.79,0.65,0.84,3988,64.53852484,0.82,200,0.9981,5.566665215,0.82,200
3988,3989,15,231,3,1,Germany,Sunflower,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,40,17,80.95,15.27,0.64,1.1,3989,43.54115863,0.13,200,0.3755,0,0.13,200
3989,3990,15,232,2,1,Germany,Rape and turnip rape,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,140,25,80.95,15.27,0.55,1.02,3990,99.42644829,0.5,200,0.3937,0,0.5,200
3990,3991,15,240,3,1,Germany,Dry pulses,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,7,15,80.95,15.27,0.64,0.94,3991,31.66115863,0.17,200,0.3059,1.816388636,0.17,200
3991,3992,15,250,2,1,Germany,Fodder crops (cereals and leguminous),<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,66.52,11,80.95,15.27,0.52,0.8,3992,70.78531295,0.43,200,0.8066,5.254628787,0.43,200
3992,3993,15,232,3,1,Germany,Rape and turnip rape,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,140,25,80.95,15.27,0.67,1.15,3993,72.91272874,0.5,200,0.031,0,0.5,200
3993,3994,15,700,3,1,Germany,Artificial,<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.64,0.94,3994,0,0.05,200,0.9753,0,0.05,200
3994,3995,15,221,3,1,Germany,Potatoes,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,135,60,80.95,15.27,0.66,1.04,3995,73.42220537,0.41,200,0.1639,0,0.41,200
3995,3996,15,231,2,1,Germany,Sunflower,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,40,17,80.95,15.27,0.54,0.9,3996,55.63592491,0.13,200,0.7029,3.227314394,0.13,200
3996,3997,15,10,3,3,Germany,Tree Cover (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.59,0.69,3997,0,0.79,200,0.938,0,0.79,200
3997,3998,15,700,2,2,Germany,Artificial,<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.51,0.71,3998,0,0.05,200,0.9963,0,0.05,200
3998,3999,15,10,3,2,Germany,Tree Cover (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.59,0.69,3999,0,0.79,200,0.9452,0,0.79,200
3999,4000,15,80,2,3,Germany,Permanent water (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.56,0.81,4000,0,0,200,0,0,0,200
4000,4001,15,33,3,3,Germany,Non Improved grassland 100 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,184.4,34.79,0.65,0.79,4001,64.53852484,0.82,200,0.9459,7.306248095,0.82,200
4001,4002,15,50,2,4,Germany,Built-up (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.54,0.81,4002,0,0.13,200,0.9913,0,0.13,200
4002,4003,15,80,3,3,Germany,Permanent water (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.64,0.95,4003,0,0,200,0,0,0,200
4003,4004,15,216,3,2,Germany,Maize,<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,62.84,14.2,80.95,15.27,0.64,1.04,4004,51.76302198,0.41,200,0.0097,0,0.41,200
4004,4005,15,290,2,1,Germany,Bare arable land,<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.64,0.96,4005,0,0.05,200,0.4713,0,0.05,200
4005,4006,15,90,3,3,Germany,Herbaceous Wetland (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.65,1.03,4006,0,0.4,200,0.7664,0,0.4,200
4006,4007,15,300,3,2,Germany,Woodland and Shrubland (incl. permanent crops,<= mean = 2.531- 5.06 degrees,No,0.51,0.08,0,0,0.63,0.76,4007,0.187046501,0.9,200,0.7249,0.019360085,0.9,200
4007,4008,15,211,2,3,Germany,Common wheat,<= mean + 1 STD = 5.061-12.225 degrees,Applied and excreted Cropland,150,12,80.95,15.27,0.49,0.7,4008,117.7833081,0.4,200,0.5054,8.181943181,0.4,200
4008,4009,15,231,2,2,Germany,Sunflower,<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,40,17,80.95,15.27,0.54,0.9,4009,55.63592491,0.13,200,0.5803,3.227314394,0.13,200
4009,4010,15,60,2,4,Germany,Bare/sparse vegetation (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.57,0.83,4010,0,0.05,200,0.8162,0,0.05,200
4010,4011,15,503,3,1,Germany,Improved grassland 100 LSU,<= 1/2 STD = < 2.53 degrees,Applied to grassland and excreted grazing - divided on LSU,45.74,3.15,60.77,11.47,0.66,0.92,4011,36.21341905,0.9,200,0.5695,1.16966438,0.9,200
4011,4012,15,503,2,1,Germany,Improved grassland 100 LSU,<= 1/2 STD = < 2.53 degrees,Applied to grassland and excreted grazing - divided on LSU,45.74,3.15,60.77,11.47,0.51,0.75,4012,52.18992745,0.9,200,0.945,3.655201187,0.9,200
4012,4013,15,240,2,1,Germany,Dry pulses,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,7,15,80.95,15.27,0.62,1.07,4013,33.42011189,0.17,200,0.774,0,0.17,200
4013,4014,15,221,2,1,Germany,Potatoes,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,135,60,80.95,15.27,0.56,0.88,4014,95.01697166,0.41,200,0.6221,9.032777272,0.41,200
4014,4015,15,250,3,1,Germany,Fodder crops (cereals and leguminous),<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,66.52,11,80.95,15.27,0.6,0.73,4015,58.98776079,0.43,200,0.3547,7.093748863,0.43,200
4015,4016,15,501,3,1,Germany,Improved grassland 0 LSU,<= 1/2 STD = < 2.53 degrees,Applied to grassland and excreted grazing - divided on LSU,0,0,0,0,0.66,0.97,4016,0,0.83,200,0.8531,0,0.83,200
4016,4017,15,31,3,3,Germany,Non improved grassland 0 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.59,0.73,4017,0,0.09,200,0.9763,0,0.09,200
4017,4018,15,230,3,1,Germany,Other non-permanent industrial crops,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,165,50,80.95,15.27,0.62,0.74,4018,93.46011189,0.19,200,0.3094,16.97101742,0.19,200
4018,4019,15,501,2,1,Germany,Improved grassland 0 LSU,<= 1/2 STD = < 2.53 degrees,Applied to grassland and excreted grazing - divided on LSU,0,0,0,0,0.57,0.83,4019,0,0.83,200,0.9653,0,0.83,200
4019,4020,15,31,2,3,Germany,Non improved grassland 0 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.6,0.82,4020,0,0.09,200,0.9982,0,0.09,200
4020,4021,15,222,2,1,Germany,Sugar beet,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,125,60,80.95,15.27,0.47,0.71,4021,109.1522613,0.34,200,0.5589,21.82921174,0.34,200
4021,4022,15,501,2,2,Germany,Improved grassland 0 LSU,<= mean = 2.531- 5.06 degrees,Applied to grassland and excreted grazing - divided on LSU,0,0,0,0,0.57,0.83,4022,0,0.83,200,0.9117,0,0.83,200
4022,4023,15,213,2,2,Germany,Barley,<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,125,13,80.95,15.27,0.64,1.07,4023,74.14115863,0.23,200,0.5142,0,0.23,200
4023,4024,15,231,2,3,Germany,Sunflower,<= mean + 1 STD = 5.061-12.225 degrees,Applied and excreted Cropland,40,17,80.95,15.27,0.54,0.9,4024,55.63592491,0.13,200,0.5825,3.227314394,0.13,200
4024,4025,15,231,3,2,Germany,Sunflower,<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,40,17,80.95,15.27,0.64,1.1,4025,43.54115863,0.13,200,0.0675,0,0.13,200
4025,4026,15,214,2,1,Germany,Rye,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,105,15,80.95,15.27,0.47,0.68,4026,98.55226131,0.41,200,0.4793,9.687406059,0.41,200
4026,4027,15,250,3,2,Germany,Fodder crops (cereals and leguminous),<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,66.52,11,80.95,15.27,0.6,0.73,4027,58.98776079,0.43,200,0.1338,7.093748863,0.43,200
4027,4028,15,40,2,2,Germany,Cropland (ESA),<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,102.3,24.62,80.95,15.27,0.54,0.82,4028,84.29290904,0.27,200,0.6749,7.181215598,0.27,200
4028,4029,15,214,3,1,Germany,Rye,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,105,15,80.95,15.27,0.51,0.72,4029,91.1143548,0.41,200,0.0849,8.476480302,0.41,200
4029,4030,15,233,3,1,Germany,Soya,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,40,17,80.95,15.27,0.54,0.85,4030,55.63592491,0.22,200,0.2771,4.84097159,0.22,200
4030,4031,15,700,3,2,Germany,Artificial,<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.64,0.94,4031,0,0.05,200,0.9599,0,0.05,200
4031,4032,15,240,2,2,Germany,Dry pulses,<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,7,15,80.95,15.27,0.62,1.07,4032,33.42011189,0.17,200,0.7534,0,0.17,200
4032,4033,15,503,2,2,Germany,Improved grassland 100 LSU,<= mean = 2.531- 5.06 degrees,Applied to grassland and excreted grazing - divided on LSU,45.74,3.15,60.77,11.47,0.51,0.75,4033,52.18992745,0.9,200,0.9121,3.655201187,0.9,200
4033,4034,15,503,3,2,Germany,Improved grassland 100 LSU,<= mean = 2.531- 5.06 degrees,Applied to grassland and excreted grazing - divided on LSU,45.74,3.15,60.77,11.47,0.66,0.92,4034,36.21341905,0.9,200,0.375,1.16966438,0.9,200
4034,4035,15,600,2,3,Germany,Bare land,<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.6,0.93,4035,0,0.05,200,0.6093,0,0.05,200
4035,4036,15,290,3,1,Germany,Bare arable land,<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.62,0.65,4036,0,0.05,200,0.1464,0,0.05,200
4036,4037,15,300,3,3,Germany,Woodland and Shrubland (incl. permanent crops,<= mean + 1 STD = 5.061-12.225 degrees,No,0.51,0.08,0,0,0.63,0.76,4037,0.187046501,0.9,200,0.6827,0.019360085,0.9,200
4037,4038,15,230,2,1,Germany,Other non-permanent industrial crops,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,165,50,80.95,15.27,0.6,0.95,4038,98.37906514,0.19,200,0.7059,3.263657197,0.19,200
4038,4039,15,233,2,1,Germany,Soya,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,40,17,80.95,15.27,0.49,0.68,4039,61.68330806,0.22,200,0.9509,10.32740606,0.22,200
4039,4040,15,215,3,1,Germany,Oats,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,105,15,80.95,15.27,0.65,0.7,4040,65.081682,0.21,200,0.2983,9.081943181,0.21,200
4040,4041,15,502,3,1,Germany,Improved grassland 25 LSU,<= 1/2 STD = < 2.53 degrees,Applied to grassland and excreted grazing - divided on LSU,12.61,0.87,16.75,3.16,0.64,1.04,4041,10.56970022,0.59,200,0.4546,0,0.59,200
4041,4042,15,213,3,2,Germany,Barley,<= mean = 2.531- 5.06 degrees,Applied and excreted Cropland,125,13,80.95,15.27,0.65,0.8,4042,72.081682,0.23,200,0.0247,5.654628787,0.23,200
4042,4043,15,502,2,1,Germany,Improved grassland 25 LSU,<= 1/2 STD = < 2.53 degrees,Applied to grassland and excreted grazing - divided on LSU,12.61,0.87,16.75,3.16,0.58,0.9,4043,12.33131692,0.59,200,0.8956,0.40303321,0.59,200
4043,4044,15,501,2,3,Germany,Improved grassland 0 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Applied to grassland and excreted grazing - divided on LSU,0,0,0,0,0.57,0.83,4044,0,0.83,200,0.9315,0,0.83,200
4044,4045,15,222,3,1,Germany,Sugar beet,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,125,60,80.95,15.27,0.67,1.17,4045,67.96272874,0.34,200,0.1089,0,0.34,200
4045,4046,15,223,3,1,Germany,Other root crops,<= 1/2 STD = < 2.53 degrees,Applied and excreted Cropland,130,60,80.95,15.27,0.56,0.95,4046,92.81697166,0.13,200,0.3134,3.763657197,0.13,200
